행정구역,2022년10월_계_총인구수,2022년10월_계_연령구간인구수,2022년10월_계_0세,2022년10월_계_1세,2022년10월_계_2세,2022년10월_계_3세,2022년10월_계_4세,2022년10월_계_5세,2022년10월_계_6세,2022년10월_계_7세,2022년10월_계_8세,2022년10월_계_9세,2022년10월_계_10세,2022년10월_계_11세,2022년10월_계_12세,2022년10월_계_13세,2022년10월_계_14세,2022년10월_계_15세,2022년10월_계_16세,2022년10월_계_17세,2022년10월_계_18세,2022년10월_계_19세,2022년10월_계_20세,2022년10월_계_21세,2022년10월_계_22세,2022년10월_계_23세,2022년10월_계_24세,2022년10월_계_25세,2022년10월_계_26세,2022년10월_계_27세,2022년10월_계_28세,2022년10월_계_29세,2022년10월_계_30세,2022년10월_계_31세,2022년10월_계_32세,2022년10월_계_33세,2022년10월_계_34세,2022년10월_계_35세,2022년10월_계_36세,2022년10월_계_37세,2022년10월_계_38세,2022년10월_계_39세,2022년10월_계_40세,2022년10월_계_41세,2022년10월_계_42세,2022년10월_계_43세,2022년10월_계_44세,2022년10월_계_45세,2022년10월_계_46세,2022년10월_계_47세,2022년10월_계_48세,2022년10월_계_49세,2022년10월_계_50세,2022년10월_계_51세,2022년10월_계_52세,2022년10월_계_53세,2022년10월_계_54세,2022년10월_계_55세,2022년10월_계_56세,2022년10월_계_57세,2022년10월_계_58세,2022년10월_계_59세,2022년10월_계_60세,2022년10월_계_61세,2022년10월_계_62세,2022년10월_계_63세,2022년10월_계_64세,2022년10월_계_65세,2022년10월_계_66세,2022년10월_계_67세,2022년10월_계_68세,2022년10월_계_69세,2022년10월_계_70세,2022년10월_계_71세,2022년10월_계_72세,2022년10월_계_73세,2022년10월_계_74세,2022년10월_계_75세,2022년10월_계_76세,2022년10월_계_77세,2022년10월_계_78세,2022년10월_계_79세,2022년10월_계_80세,2022년10월_계_81세,2022년10월_계_82세,2022년10월_계_83세,2022년10월_계_84세,2022년10월_계_85세,2022년10월_계_86세,2022년10월_계_87세,2022년10월_계_88세,2022년10월_계_89세,2022년10월_계_90세,2022년10월_계_91세,2022년10월_계_92세,2022년10월_계_93세,2022년10월_계_94세,2022년10월_계_95세,2022년10월_계_96세,2022년10월_계_97세,2022년10월_계_98세,2022년10월_계_99세,2022년10월_계_100세 이상
경기도 성남시 (4113000000),920667 ,920667 ,4682 ,4921 ,4999 ,5504 ,5794 ,6281 ,7096 ,7766 ,7693 ,7860 ,8504 ,8538 ,8352 ,8105 ,8565 ,8837 ,8018 ,8022 ,8895 ,8793 ,8846 ,10177 ,11374 ,11043 ,12050 ,12592 ,13313 ,13774 ,14181 ,14453 ,14742 ,14103 ,13064 ,13007 ,12686 ,12651 ,12502 ,12716 ,13194 ,14210 ,15256 ,15282 ,15760 ,15032 ,13550 ,14339 ,14043 ,14705 ,15935 ,16134 ,16596 ,17647 ,16823 ,16618 ,15926 ,14681 ,13919 ,14328 ,13587 ,14310 ,13920 ,15524 ,15063 ,13477 ,12671 ,12319 ,10963 ,11259 ,9216 ,8130 ,8623 ,5854 ,6529 ,6761 ,6420 ,6586 ,4939 ,4719 ,4525 ,4522 ,5032 ,3911 ,3416 ,3249 ,2844 ,2479 ,2199 ,1939 ,1589 ,1216 ,1045 ,814 ,710 ,539 ,390 ,289 ,170 ,149 ,84 ,74 ,135 
경기도 성남시 수정구 (4113100000),232663 ,232663 ,1211 ,1159 ,1272 ,1342 ,1417 ,1431 ,1528 ,1626 ,1597 ,1521 ,1653 ,1684 ,1645 ,1448 ,1597 ,1681 ,1548 ,1535 ,1839 ,1967 ,2026 ,2413 ,2880 ,3073 ,3241 ,3449 ,3625 ,3685 ,3808 ,3910 ,3870 ,3685 ,3418 ,3349 ,3238 ,3257 ,3240 ,3238 ,3359 ,3561 ,3846 ,3777 ,3779 ,3516 ,3148 ,3387 ,3201 ,3390 ,3607 ,3766 ,3898 ,4159 ,4092 ,4041 ,4051 ,3837 ,3771 ,3840 ,3745 ,3942 ,3862 ,4443 ,4350 ,3822 ,3639 ,3507 ,3203 ,3239 ,2784 ,2436 ,2569 ,1770 ,1945 ,2054 ,1894 ,1891 ,1440 ,1319 ,1261 ,1310 ,1443 ,1029 ,903 ,869 ,719 ,570 ,540 ,467 ,372 ,311 ,195 ,149 ,156 ,121 ,66 ,66 ,35 ,31 ,17 ,17 ,30 
경기도 성남시 수정구 신흥1동(4113151000),13256 ,13256 ,29 ,19 ,39 ,42 ,44 ,39 ,56 ,57 ,51 ,45 ,58 ,51 ,61 ,44 ,61 ,74 ,74 ,70 ,81 ,96 ,97 ,106 ,157 ,175 ,191 ,217 ,231 ,232 ,222 ,225 ,232 ,245 ,225 ,166 ,160 ,172 ,158 ,156 ,180 ,153 ,181 ,191 ,159 ,167 ,179 ,214 ,181 ,183 ,225 ,242 ,233 ,289 ,272 ,270 ,235 ,223 ,213 ,233 ,234 ,266 ,286 ,276 ,325 ,250 ,256 ,225 ,227 ,223 ,191 ,134 ,173 ,121 ,130 ,122 ,148 ,111 ,108 ,72 ,78 ,90 ,108 ,71 ,61 ,66 ,40 ,35 ,30 ,27 ,23 ,14 ,14 ,12 ,12 ,5 ,3 ,4 ,1 ,1 ,0 ,1 ,1 
경기도 성남시 수정구 신흥2동(4113152000),19925 ,19925 ,164 ,159 ,173 ,174 ,201 ,186 ,185 ,170 ,165 ,146 ,139 ,159 ,141 ,119 ,163 ,151 ,159 ,160 ,179 ,191 ,182 ,214 ,235 ,232 ,246 ,223 ,266 ,252 ,223 ,278 ,256 ,236 ,267 ,279 ,311 ,343 ,342 ,344 ,362 ,407 ,350 ,344 ,347 ,302 ,268 ,283 ,275 ,271 ,302 ,333 ,304 ,322 ,376 ,361 ,336 ,320 ,351 ,336 ,301 ,313 ,343 ,386 ,358 ,321 ,293 ,309 ,256 ,266 ,253 ,199 ,225 ,144 ,144 ,150 ,114 ,141 ,96 ,107 ,80 ,81 ,95 ,41 ,55 ,48 ,45 ,35 ,26 ,21 ,30 ,22 ,11 ,10 ,12 ,10 ,5 ,9 ,0 ,2 ,1 ,2 ,2 
경기도 성남시 수정구 신흥3동(4113153000),11236 ,11236 ,30 ,45 ,38 ,23 ,48 ,37 ,31 ,46 ,36 ,50 ,43 ,56 ,45 ,58 ,60 ,56 ,52 ,64 ,74 ,92 ,101 ,97 ,118 ,167 ,138 ,160 ,188 ,190 ,223 ,209 ,200 ,199 ,136 ,147 ,140 ,137 ,139 ,123 ,138 ,160 ,161 ,149 ,157 ,164 ,143 ,139 ,136 ,192 ,181 ,203 ,226 ,212 ,231 ,192 ,237 ,229 ,208 ,192 ,206 ,229 ,221 ,257 ,254 ,210 ,178 ,200 ,170 ,174 ,155 ,116 ,126 ,106 ,120 ,99 ,109 ,106 ,76 ,91 ,90 ,82 ,81 ,47 ,52 ,50 ,32 ,25 ,23 ,21 ,17 ,17 ,16 ,6 ,12 ,3 ,4 ,3 ,3 ,3 ,0 ,0 ,0 
경기도 성남시 수정구 태평1동(4113154000),15145 ,15145 ,50 ,48 ,33 ,41 ,35 ,51 ,43 ,51 ,47 ,49 ,46 ,52 ,64 ,39 ,67 ,61 ,62 ,78 ,93 ,103 ,139 ,189 ,258 ,278 ,282 ,310 ,326 ,335 ,286 ,326 ,280 ,270 ,244 ,224 ,198 ,202 ,191 ,168 ,178 ,206 ,209 ,180 ,210 ,181 ,193 ,174 ,188 ,193 ,198 ,189 ,244 ,262 ,264 ,236 ,278 ,248 ,257 ,268 ,242 ,288 ,264 ,309 ,292 ,253 ,285 ,216 ,272 ,202 ,215 ,220 ,190 ,143 ,149 ,177 ,151 ,173 ,114 ,120 ,107 ,97 ,129 ,101 ,89 ,63 ,51 ,55 ,43 ,41 ,30 ,31 ,8 ,12 ,8 ,10 ,3 ,6 ,4 ,0 ,1 ,2 ,4 
경기도 성남시 수정구 태평2동(4113155000),15118 ,15118 ,67 ,65 ,66 ,74 ,69 ,59 ,62 ,57 ,69 ,59 ,88 ,82 ,76 ,84 ,89 ,117 ,88 ,93 ,143 ,132 ,133 ,150 ,208 ,204 ,245 ,232 ,250 ,300 ,290 ,305 ,264 ,253 ,229 ,234 ,208 ,184 ,183 ,188 ,178 ,183 ,229 ,219 ,211 ,229 ,170 ,181 ,194 ,185 ,204 ,240 ,286 ,275 ,245 ,272 ,282 ,273 ,278 ,277 ,288 ,244 ,246 ,284 ,285 ,256 ,253 ,248 ,203 ,214 ,187 ,149 ,182 ,124 ,160 ,143 ,131 ,135 ,108 ,87 ,96 ,113 ,115 ,95 ,78 ,67 ,51 ,39 ,50 ,48 ,24 ,28 ,16 ,10 ,20 ,8 ,7 ,3 ,2 ,2 ,2 ,4 ,3 
경기도 성남시 수정구 태평3동(4113156000),13096 ,13096 ,50 ,44 ,35 ,42 ,46 ,51 ,52 ,66 ,65 ,57 ,72 ,87 ,82 ,78 ,68 ,88 ,82 ,88 ,91 ,122 ,104 ,115 ,156 ,176 ,181 ,200 ,206 ,233 ,211 ,219 ,217 ,192 ,170 ,166 ,173 ,159 ,145 ,159 ,149 ,148 ,176 ,178 ,171 ,169 ,156 ,163 ,165 ,180 ,226 ,209 ,240 ,244 ,230 ,272 ,263 ,243 ,231 ,234 ,244 ,246 ,247 ,289 ,291 ,268 ,236 ,225 ,201 ,195 ,198 ,145 ,165 ,111 ,132 ,142 ,139 ,120 ,102 ,79 ,74 ,97 ,99 ,77 ,56 ,61 ,65 ,36 ,40 ,26 ,25 ,17 ,12 ,9 ,15 ,5 ,3 ,4 ,2 ,1 ,0 ,1 ,1 
경기도 성남시 수정구 태평4동(4113156100),12901 ,12901 ,44 ,42 ,34 ,36 ,51 ,43 ,65 ,75 ,87 ,91 ,82 ,97 ,93 ,97 ,101 ,112 ,106 ,95 ,122 ,117 ,127 ,180 ,182 ,171 ,186 ,221 ,216 ,215 ,248 ,250 ,205 ,190 ,174 ,145 ,152 ,139 ,112 ,136 ,137 ,172 ,171 ,181 ,182 ,187 ,148 ,191 ,174 ,199 ,220 ,243 ,242 ,246 ,246 ,247 ,229 ,236 ,216 ,207 ,223 ,235 ,214 ,270 ,219 ,229 ,197 ,181 ,163 ,184 ,149 ,126 ,133 ,89 ,112 ,126 ,120 ,121 ,84 ,75 ,99 ,87 ,101 ,68 ,56 ,59 ,60 ,38 ,48 ,26 ,30 ,17 ,11 ,8 ,9 ,7 ,5 ,2 ,2 ,1 ,0 ,1 ,3 
경기도 성남시 수정구 수진1동(4113157000),12120 ,12120 ,32 ,21 ,28 ,28 ,23 ,34 ,31 ,35 ,40 ,37 ,48 ,44 ,48 ,48 ,53 ,55 ,58 ,63 ,74 ,88 ,87 ,105 ,142 ,166 ,160 ,182 ,175 ,177 ,213 ,205 ,190 ,210 ,169 ,135 ,129 ,140 ,129 ,126 ,111 ,125 ,137 ,146 ,170 ,121 ,122 ,155 ,135 ,175 ,187 ,211 ,206 ,227 ,261 ,227 ,267 ,225 ,230 ,271 ,234 ,271 ,245 ,301 ,293 ,255 ,245 ,244 ,208 ,252 ,186 ,181 ,172 ,134 ,133 ,140 ,145 ,124 ,93 ,89 ,97 ,96 ,96 ,85 ,59 ,64 ,43 ,33 ,41 ,31 ,17 ,19 ,14 ,12 ,5 ,9 ,3 ,7 ,1 ,3 ,1 ,0 ,2 
